metodo,tamanhovetor,tempo,bytesporiteracao,alocacoes,memoria_alocada
merge,70000,10174.42
merge,110000,16299.39
merge,125000,18926.25
merge,170000,26319.96
merge,185000,28977.53
merge,65000,9290.67
merge,145000,22642.27
merge,55000,7689.26
merge,90000,13054.85
merge,95000,13820.63
merge,115000,16996.50
merge,195000,29607.00
merge,200000,31176.86
merge,10000,1250.73
merge,35000,4793.57
merge,135000,20478.82
merge,180000,27729.00
merge,100000,14864.66
merge,160000,24653.65
merge,150000,23329.31
merge,175000,27355.70
merge,15000,1946.44
merge,25000,3413.09
merge,40000,5656.73
merge,50000,7197.75
merge,75000,11128.53
merge,80000,11869.25
merge,30000,4159.96
merge,105000,15984.68
merge,130000,19928.71
merge,155000,24547.76
merge,140000,22164.72
merge,165000,26076.93
merge,5000,601.47
merge,20000,2725.40
merge,45000,6491.35
merge,60000,8828.22
merge,85000,12993.51
merge,120000,18610.16
merge,190000,30653.00
merge,10000,1277.66
merge,25000,3440.52
merge,100000,15377.96
merge,110000,16941.55
merge,115000,17813.33
merge,135000,20708.90
merge,150000,23253.26
merge,55000,8039.26
merge,70000,10305.90
merge,15000,1939.13
merge,40000,5595.32
merge,45000,6182.55
merge,60000,8437.12
merge,65000,9129.02
merge,170000,25998.78
merge,175000,27018.77
merge,180000,27857.45
merge,75000,10948.17
merge,85000,12515.36
merge,95000,13944.05
merge,125000,18982.44
merge,140000,21375.82
merge,195000,30201.42
merge,200000,31266.92
merge,35000,4817.57
merge,50000,7168.24
merge,80000,11904.71
merge,120000,18292.78
merge,185000,29096.70
merge,190000,30175.21
merge,20000,2663.68
merge,30000,4117.77
merge,165000,25868.60
merge,5000,601.19
merge,105000,16029.00
merge,130000,20010.32
merge,145000,22495.78
merge,160000,25100.70
merge,90000,13644.41
merge,155000,24707.23
merge,65000,9498.88
merge,75000,11299.09
merge,5000,600.64
merge,10000,1278.63
merge,145000,22889.09
merge,165000,26335.75
merge,175000,27948.40
merge,190000,30126.92
merge,55000,7814.90
merge,60000,8709.28
merge,105000,16005.65
merge,115000,16987.15
merge,150000,22808.23
merge,200000,31243.58
merge,160000,24513.25
merge,180000,27686.14
merge,20000,2621.00
merge,25000,3375.30
merge,35000,4773.45
merge,90000,13223.86
merge,125000,18689.18
merge,130000,19639.69
merge,15000,1957.17
merge,30000,4123.37
merge,155000,23858.67
merge,185000,29037.05
merge,195000,30616.90
merge,85000,12765.10
merge,110000,16779.70
merge,135000,20840.50
merge,170000,26954.32
merge,40000,5702.54
merge,45000,6509.65
merge,95000,14342.84
merge,120000,18626.35
merge,50000,7300.42
merge,70000,10358.55
merge,80000,12015.43
merge,100000,15267.67
merge,140000,22172.60
